Date de Commande;Numéro de commande;Nom client;Adresse;Articles commandés (Quantité)
12/04/2014 08:29;Cmd N° 1;BAMBOO;112 avenues Delacroix - 44800 SAINT HERBLAIN;"Carte graphique (4); Alimentation (16)"
12/04/2014 09:26;Cmd N° 2;PYRENS;23 boulevard Descartes - 31000 TOULOUSE;"Carte mère (24); Carte graphique (5)"
12/04/2014 10:17;Cmd N° 3;COTON BLANC;7 Place Racine - 44000 NANTES;"Carte mère (1); Disque (1); Carte graphique (3)"
12/04/2014 11:25;Cmd N° 4;KIASOIF;2 Place de Monaco - 06000 NICE;"Carte mère (7); Disque (2); Carte graphique (30)"
12/04/2014 13:03;Cmd N° 5;PYRENS;68 promenande des Pyrennées - 64000 PAU;"Carte mère (10); Disque (8); Carte graphique (3)"
12/04/2014 13:19;Cmd N° 6;MBI;17 rue La Rochelle - 33000 BORDEAUX;"Carte mère (25); Carte graphique (8)"
12/04/2014 13:23;Cmd N° 7;HAL;7 rue Lavoisier - 44000 NANTES;"Carte mère (3); Disque (15); Carte graphique (7)"
12/04/2014 13:39;Cmd N° 8;LIB;12 rue Maison Blanche - 44000 NANTES;"Carte mère (8); Disque (8); Carte graphique (3)"
12/04/2014 14:00;Cmd N° 9;MAISON MS;64 rue Lavoisier - 44000 NANTES;"Carte mère (1); Disque (15); Carte graphique (9); Alimentation (14)"
12/04/2014 14:01;Cmd N° 10;STEP;8 impasse des Espoirs - 44800 SAINT HERBLAIN;"Carte mère (10); Disque (8); Carte graphique (3)"
12/04/2014 14:02;Cmd N° 11;CA;57 avenue des Acacias - 44470 CARQUEFOU;"Carte mère (9); Disque (18); Carte graphique (12)"
12/04/2014 15:31;Cmd N° 12;KING;2 rue des Moines - 44240 SUCE SUR ERDRE;"Carte mère (5); Disque (3)"
12/04/2014 15:32;Cmd N° 13;CHEVAL BLANC;4 impasse Poilus - 444700 CARQUEFOU;"Carte mère (7); Carte graphique (25)"
12/04/2014 15:39;Cmd N° 14;ANE ROUGE;47 rue Georges Clémenceau - 76 ROUEN;"Disque (18); Carte graphique (2)"
12/04/2014 15:57;Cmd N° 15;JOUR BLEU;96 Place des Braves - 33000 BORDEAUX;"Carte mère (15); Disque (8); Alimentation (9)"
12/04/2014 16:02;Cmd N° 16;KIDIMIEUX;12 avenue Paul Ricard - 29000 BREST;Carte mère (19)
12/04/2014 16:10;Cmd N° 17;PORKIPIC;51 rue des Pastis - 56000 VANNES;"Carte mère (30); Disque (4); Carte graphique (12)"
12/04/2014 17:35;Cmd N° 18;DEFI;17 avenue de Boétie - 75008 PARIS;"Disque (22); Carte graphique (6)"
12/04/2014 17:52;Cmd N° 19;ECLAIR;9 rue des Merles - 14000 CAEN;"Carte mère (10); Carte graphique (3); Alimentation (32)"
12/04/2014 18:03;Cmd N° 20;EXEMPLE;267 Boulevard Sébastopole - 44000 NANTES;Alimentation (8)
12/04/2014 18:55;Cmd N° 21;BUT;28 rue des Glacières - 75013 PARIS;Carte graphique (44)
12/04/2014 19:35;Cmd N° 22;ELEPHANT;234 Place Clichy - 75009 PARIS;"Carte mère (10); Disque (8); Carte graphique (3)"
12/04/2014 19:48;Cmd N° 23;DOCTEUR INFO;3 Boulevard des Anglais - 44000 NANTES;"Disque (17); Carte graphique (9)"
12/04/2014 20:15;Cmd N° 24;HAV;78 Place 50 Otages - 44000 NANTES;"Carte mère (16); Disque (7); Carte graphique (21)"
12/04/2014 20:39;Cmd N° 25;INFO;15 rue Mimosas - 31000 TOULOUSE;"Carte mère (10); Disque (8); Carte graphique (3)"
12/04/2014 20:51;Cmd N° 26;YOKO;3 rue Droite - 11100 NARBOENNE;"Carte mère (14); Disque (1); Carte graphique (8)"
12/04/2014 21:00;Cmd N° 27;BAT;12 avenue Pinsons - 49000 ANGERS;"Carte mère (26); "
12/04/2014 21:01;Cmd N° 28;ANG;5 rue Lilas - 44100 NANTES;"Disque (8); Alimentation (2)"
12/04/2014 21:52;Cmd N° 29;ACE;125 Place Saint Pierre - 44470 CARQUEFOU;"Carte mère (7); Disque (2); Alimentation (5); Carte graphique (3)"
12/04/2014 22:30;Cmd N° 30;NTP;89 avenue Charles de Gaulle - 44000 NANTES;"Carte mère (18); Disque (15); Carte graphique (9); Alimentation (32)"
